,Test,Price,
329,Paraneoplastic Marker(Neurological Ag pr,4500,
330,PARATHYROID HORMONE (PTH),750,
331,PFT,800,
332,PG2BS,50,
333,PHENYTOIN (EPTOIN,DILANTIN),650
334,PHOSPHURUS,200,
335,Pidilite Check Up,500,
336,PLATLET COUNT,200,
337,PLEURAL FLUID R/M,600,
338,Pnemocystitis Carini,2500,
339,Pneumo Slide Panel (IFA),4500,
340,POC for Cytogenetic Analysis FISH,6000,
341,POC for Cytogenetic Analysis NGS,12000,
342,PORPHOBILINOGEN urine,350,
343,Posaconazole Level,5500,
344,Post Dinner Blood Sugar,50,
345,POTASSIUM,200,
346,PPBS,50,
347,PRE Angio Profile,450,
348,PRE OP MAJOR PROFILE,1200,
349,PRE OP MAJOR PROFILE Extended,1800,
350,PRE OP MINOR PROFILE,700,
351,PRE OP MINOR PROFILE Extended,1200,
352,Pregnance Test,200,
353,PRO CALCITONIN (PCT),2400,
354,PROGESTERON,500,
355,PROLACTIN,500,
356,"Prolactin Pooled (0,20,60)",650,
357,PROTEIN ALB GLOB WITH AG Ratio,250,
358,PROTEIN C,3000,
359,Protein Electrophoresis,1000,
360,PROTEIN S,3000,
361,Prothrombin gene mutation (Factor II or Prothrombin G20210A),3000,
362,PS FOR MP,150,
363,PSA,600,
364,PT,300,
365,PTH,900,
366,Pus RM,600,
367,Quad Marker Scree(15-21 Weeks),3000,
368,RA (RF),300,
369,RBS,100,
370,RBS 6 HOURLY,300,
371,Renal Function Tests (RFT),700,
372,RENIL LEVEL,3200,
373,RETIC COUNT,300,
374,RPR,300,
375,Rubella IgM,350,
376,RUBELLIA IgG,350,
377,Scrub Typhus Serology,1400,
378,SEMEN Examination,300,
379,SERUM OSMOLALITY,800,
380,Serum protein electrophoresis,1000,
381,SGOT,200,
382,SGPT,200,
383,SODIUM,250,
384,Sputum  for A.F.B.,250,
385,Sputum  for A.F.B. 3 days,600,
386,SPUTUM EXAMINATION,600,
387,STONE ANALYSIS,1200,
388,STOOL H PYLORI ANTIGEN,1000,
389,STOOL Modified ZN Stain,250,
390,STOOL R&M,250,
391,Stool RM 3 Days,600,
392,Stool RM 5 Days,1000,
393,Sucrose Lysis (for PNH),600,
394,SUGAR FBS AND PPBS,100,
395,Swine Flu (H1N1) PCR,4500,
396,SYNOVIAL FLUID EXAMINATION,500,
397,T3,200,
398,T3 T4 TSH,600,
399,T4,200,
400,Tacrolimus Level,3500,
401,TB GOLD GAMMA INTERFERON,2800,
402,TB PCR,2500,
403,TC DC,250,
404,TESTOSTERONE LEVEL,550,
405,THROAT SWAB,250,
406,Thyrotropin(TSH) Receptor Ab (TRAb),4000,
407,TIBC,400,
408,TMT,1200,
409,TORCH COMPLEX 10 PARAMETER,2400,
410,TORCH COMPLEX 8 PARAMETER,2000,
411,Toxoplasma IgG,350,
412,Toxoplasma IgM,350,
413,TPAB (Total Syphilis Ab),1000,
414,TPHA,500,
415,Triglycerides,250,
416,Triple Marker (15 to 21 Weeks),3000,
417,TROPONIN T,1000,
418,TROPONIN-I,1000,
419,TSH,250,
420,tTG IgA,900,
421,tTG IgG,900,
422,TUBERCULIN TEST,150,
423,TYPHI DOT IgM ELISA,600,
424,TYPHI DOT IgM/IgG,600,
425,UPT,300,
426,UREA,250,
427,URIC ACID,250,
